fiberL (m)	nodeL (m)	Ithr (A)	CV (m/s)	dV (mV)
0.0001	2e-05	4.110960958218893e-09	811.9079857672508	84.41203998684715
0.00010985411419875583	2.1970822839751168e-05	4.703888019500465e-09	317.3646032098205	88.81718431043497
0.00012067926406393288	1.7239894866276127e-05	5.178229668525721e-09	282.5215289993451	88.72847538291516
0.00013257113655901095	1.8938733794144423e-05	5.6525713175509785e-09	208.2046982784071	87.8615394074454
0.00014563484775012445	2.0804978250017778e-05	6.205969908080445e-09	155.41920211416297	87.5633682195945
0.00015998587196060574	1.777620799562286e-05	6.798896969362016e-09	136.86885554644854	87.76828165817004
0.00017575106248547912	1.9527895831719902e-05	7.431352501395692e-09	105.04170544472403	87.73607716454514
0.00019306977288832496	2.145219698759166e-05	8.142864974933577e-09	71.05707141475698	88.47670244180067
0.00021209508879201905	1.928137170836537e-05	8.933434389975672e-09	53.661753815873176	89.46644540401701
0.00023299518105153718	2.118138009559429e-05	9.644946863513559e-09	43.027998517791985	88.83881588352367
0.0002559547922699536	1.9688830174611816e-05	1.0435516278555652e-08	30.087457283862307	89.2832834077862
0.0002811768697974231	2.1628989984417164e-05	1.1226085693597748e-08	22.688911036104795	89.77816827856287
0.00030888435964774815	2.0592290643183212e-05	1.2095712050144051e-08	16.252311923944234	91.0064636100448
0.000339322177189533	1.996012806997253e-05	1.2886281465186146e-08	11.628924656457366	91.84330406536736
0.0003727593720314938	2.1927021884205516e-05	1.3518736997219823e-08	8.363763433557997	92.61705541638983
0.0004094915062380423	2.1552184538844332e-05	1.4190721000005603e-08	6.117024967230363	94.03991584718045
0.0004498432668969444	2.142110794747354e-05	1.482317653203928e-08	4.312963003013936	96.30244521193097
0.0004941713361323833	2.148571026662536e-05	1.533704665181664e-08	4.671345765447482	98.57965064287768
0.0005428675439323859	2.1714701757295438e-05	1.5732331359337688e-08	1.494940783156743	99.63425775835434
0.0005963623316594642	2.0564218333084974e-05	1.6127616066858733e-08	1.0422748080111255	98.23171547297443
0.0006551285568595509	2.11331792535339e-05	1.6364786891371363e-08	0.9440833928736395	95.9836339979105
0.0007196856730011522	2.1808656757610672e-05	1.6601957715883992e-08	0.7829707112216784	95.17773826472157
0.0007906043210907702	2.13676843538046e-05	1.6681014657388203e-08	0.7544852137493014	94.16393023144975
0.000868511373751352	2.1183204237837854e-05	1.6760071598892414e-08	0.7186670809622503	93.31817632831962
0.0009540954763499944	2.1202121696666543e-05	1.6760071598892414e-08	0.6865628518889527	92.63703238768001
0.0010481131341546852	2.1390063962340514e-05	1.6918185481900833e-08	0.6730331305695002	92.01650211396439
0.0011513953993264468	2.1724441496725413e-05	1.6918185481900833e-08	0.6554396226293894	91.48699995246804
0.0012648552168552957	2.143822401449654e-05	1.6918185481900833e-08	0.6470305132903795	90.92886742550593
0.0013894954943731374	2.137685375958673e-05	1.6918185481900833e-08	0.6351106873717608	90.63848302951477
0.0015264179671752333	2.149884460810188e-05	1.6918185481900833e-08	0.6297856779614223	90.11352244966164
0.0016768329368110067	2.177705112741567e-05	1.6918185481900833e-08	0.6201606349737528	89.82528950707643
0.0018420699693267163	2.167141140384372e-05	1.6918185481900833e-08	0.6165215561723595	89.58413421523937
0.0020235896477251557	2.1759028470162964e-05	1.6918185481900833e-08	0.6140881793662917	89.49756783546573
0.0022229964825261957	2.158249012161355e-05	1.6918185481900833e-08	0.6130459148528142	89.28064949330735
0.0024420530945486497	2.1611089332288935e-05	1.6918185481900833e-08	0.610919511191041	89.10095439365439
0.0026826957952797246	2.181053492097337e-05	1.6918185481900833e-08	0.6085954065405662	88.84788233525693
0.0029470517025518097	2.1830012611494886e-05	1.6918185481900833e-08	0.6083324296234259	88.64094465301598
0.0032374575428176433	2.172790297193049e-05	1.6918185481900833e-08	0.6080977141713326	88.48759710990288
0.0035564803062231283	2.181889758419097e-05	1.6918185481900833e-08	0.6080518031710604	88.28062525961954
0.003906939937054613	2.1826480095277167e-05	1.6918185481900833e-08	0.6084717998839242	88.16502925312322
0.004291934260128779	2.1786468325526794e-05	1.6918185481900833e-08	0.6083340262389908	88.10145735926287
0.00471486636345739	2.192961099282507e-05	1.6918185481900833e-08	0.6074386408198501	88.0327626097376
0.005179474679231213	2.185432354105997e-05	1.6918185481900833e-08	0.6072058491859529	88.02120505826824
0.005689866029018293	2.1968594706634335e-05	1.6918185481900833e-08	0.6086878874238182	88.06886401122753
0.0062505519252739694	2.1931761141312172e-05	1.6918185481900833e-08	0.6085906004473982	88.07110465883116
0.006866488450042998	2.193766277969009e-05	1.6918185481900833e-08	0.6086397094157954	88.06821294493483
0.007543120063354615	2.1991603683249606e-05	1.6918185481900833e-08	0.6086374181755317	88.06565456839243
0.008286427728546842	2.1979914399328493e-05	1.6918185481900833e-08	0.606914431472044	88.00112731102281
0.009102981779915217	2.193489585521739e-05	1.6918185481900833e-08	0.6069109205388868	87.99977651738286
0.01	2.1978021978021977e-05	1.6918185481900833e-08	0.606850871263744	87.99627321932664
