t stim (m)	Ithr (A)
1e-05	nan
1.3433993325988988e-05	nan
1.80472176682717e-05	nan
2.424462017082331e-05	nan
3.257020655659783e-05	nan
4.37547937507418e-05	nan
5.878016072274912e-05	nan
7.896522868499733e-05	nan
0.00010608183551394483	nan
0.00014251026703029977	nan
0.00019144819761699575	nan
0.00025719138090593444	nan
0.0003455107294592218	nan
0.00046415888336127773	nan
0.0006235507341273912	nan
0.0008376776400682916	nan
0.0011253355826007646	423126.59924950625
0.0015117750706156615	195099.45282640605
0.002030917620904735	97836.55301247736
0.0027283333764867666	55414.89897980248
0.003665241237079626	39639.43601971378
0.0049238826317067365	36455.66076776862
0.006614740641230145	32181.944438580944
0.008886238162743398	30719.128782281812
0.011937766417144358	29801.28366460392
0.016037187437513294	29141.582486272935
0.021544346900318822	28309.78534837735
0.02894266124716749	27764.814809756106
0.03888155180308085	27391.94023069946
0.05223345074266838	27133.79629135256
0.07017038286703822	26933.017671860518
0.09426684551178845	26818.28703215078
0.1266380173467402	26789.604372223344
0.17012542798525856	26732.23905236848
0.22854638641349884	26703.556392441053
0.30702906297578497	26703.556392441053
0.4124626382901348	26674.873732513617
0.5541020330009481	26674.873732513617
0.7443803013251681	26674.873732513617
1.0	26674.873732513617
