tstim (s)	Vext (mV)
1e-05	-955.0
1.8329807108324375e-05	-550.0
3.359818286283781e-05	-330.0
6.158482110660267e-05	-211.25
0.00011288378916846884	-148.75
0.00020691380811147902	-118.125
0.000379269019073225	-105.625
0.0006951927961775605	-103.125
0.0012742749857031334	-103.125
0.002335721469090121	-103.125
0.004281332398719391	-103.125
0.007847599703514606	-103.125
0.01438449888287663	-103.125
0.026366508987303583	-103.125
0.04832930238571752	-103.125
0.08858667904100823	-103.125
0.1623776739188721	-103.125
0.2976351441631319	-103.125
0.5455594781168515	-103.125
1.0	-103.125
