tstim (s)	Vext (mV)

1e-05	-12750.0
1.8329807108324375e-05	-6960.0
3.359818286283781e-05	-3800.0
6.158482110660267e-05	-2080.0
0.00011288378916846884	-1140.0
0.00020691380811147902	-630.0
0.000379269019073225	-350.0
0.0006951927961775605	-198.75
0.0012742749857031334	-115.625
0.002335721469090121	-71.25
0.004281332398719391	-46.5625
0.007847599703514606	-33.4375
0.01438449888287663	-25.9375
0.026366508987303583	-21.875
0.04832930238571752	-19.6875
0.08858667904100823	-18.59375
0.1623776739188721	-18.28125
0.2976351441631319	-18.125
0.5455594781168515	-17.96875
1.0	-17.96875
